Scenario	Replication	[WalkinOrderQ].AverageQueueTime/1[min]		[WalkinOrderQ].QueueLengthAverage		[WalkinOrderplace].Utilisation		[WalkinOrderplace].NumberProcessed		[WalkinpickupQ].AverageQueueTime/1[min]		[WalkinpickupQ].QueueLengthAverage		[WalkinPickup].Utilisation		[WalkinPickup].NumberProcessed		[WalkinStats].SampleAverage/1[min]		[DrivethruOrderQ].AverageQueueTime/1[min]		[DrivethruOrderQ].QueueLengthAverage		[DrivethruOrderplace2].Utilisation		[DrivethruOrderplace2].NumberProcessed		[DrivethruPickupQ].AverageQueueTime/1[min]		[DrivethruPickupQ].QueueLengthAverage		[DrivethruPickup].Utilisation		[DrivethruPickup].NumberProcessed		[DrivethruStats].SampleAverage/1[min]		[WalkinCustExitStats].NumberProcessed		[DrivethruCustExitStats].NumberProcessed	
1	1	0.04311495476190457		0.010060156111111067		0.10804779055555555		27.0		4.267465495061728		0.9601797363888888		0.9222958041666666		27.0		11.791023579012345		0.28836534714285766		0.08410655958333349		0.30922838055555557		35.0		24.787075212857147		7.229563603750002		0.9898599280555554		21.0		28.661550592063485		0.0		0.0	
1	2	0.23377703537415007		0.09545895611111127		0.2535396108333333		49.0		15.429355414625856		6.300320127638892		0.946584004861111		34.0		20.022149527450985		1.3073291154761917		0.30504346027777807		0.4967325170833333		27.0		9.884345309876544		2.223977694722222		0.8917935184722221		20.0		17.820165938333332		0.0		0.0	
1	3	0.07708694916666663		0.02569564972222221		0.1713211115277778		39.0		12.077445691025645		3.9251698495833343		0.9889485452777778		32.0		19.730359109375		1.145598370370371		0.3436795111111112		0.45241039819444445		36.0		21.97886340555555		6.593659021666665		0.9977867718055555		18.0		30.950029408333332		0.0		0.0	
1	4	0.1948526182291666		0.05196069819444443		0.1456511498611111		32.0		2.2362761645833324		0.5963403105555554		0.9705610609722222		30.0		8.876148932777777		0.22221790555555584		0.06110992402777785		0.32471943819444443		33.0		19.278604796464652		5.301616319027779		0.8998293765277777		18.0		22.02499137314815		0.0		0.0	
1	5	0.1358661144736835		0.04302426958333311		0.20742222874999997		38.0		9.413897604824562		2.9810675748611115		0.8949866808333332		31.0		16.10118608064516		0.33033060064102504		0.07157163013888876		0.39449512638888884		25.0		8.041433278000003		1.6752985995833338		0.8637729084722222		19.0		15.73296239122807		0.0		0.0	
1	6	0.015474339080459889		0.0037396319444444734		0.15049858749999998		28.0		1.0229045958333327		0.23867773902777764		0.8944786401388889		27.0		7.737638351234566		0.7029021534482767		0.16986802041666685		0.4650187334722222		29.0		13.330642909770116		3.2215720365277782		0.8620168251388889		17.0		19.673930556862743		0.0		0.0	
1	7	0.12480170697674435		0.04472061166666672		0.23138459541666667		43.0		7.227259581395348		2.5897680166666666		0.9848394547222221		36.0		13.278154398611111		0.44958532020201963		0.1236359630555554		0.42323988583333333		33.0		24.45945356161616		6.726349729444444		0.9823837627777777		21.0		27.893359542857137		0.0		0.0	
1	8	0.04256628829787205		0.016671796249999885		0.2186346123611111		47.0		22.717092018439722		8.897527707222224		0.9987141598611111		30.0		28.999465255555553		0.575817214414415		0.1775436411111113		0.3640507336111111		37.0		25.050864859009017		7.7240166648611135		0.9886653686111111		22.0		34.79911668712121		0.0		0.0	
1	9	0.055362149259259426		0.020760805972222286		0.19759088416666667		45.0		12.459835218148154		4.672438206805558		0.9986534816666666		33.0		20.306123048989903		2.4901147797101446		0.4772719994444443		0.33528698888888886		23.0		18.84323404710145		3.6116198590277775		0.9778601355555555		21.0		28.695618614285713		0.0		0.0	
1	10	0.04943313048780462		0.01688965291666658		0.15609562208333333		41.0		6.71969428699187		2.2958955480555554		0.9296150973611111		33.0		13.112776541919194		2.7050589225		0.9016863075000001		0.6165783347222222		40.0		26.996331745416665		8.998777248472221		0.982605147361111		21.0		35.80623131111111		0.0		0.0	
1		0.09723352861077117	0.05195052583127907	0.03289822284722221	0.019385419047856553	0.18401861930555552	0.03226824797443943	38.9	5.514519094173126	9.357122607092954	4.708448365370224	3.345738481680556	1.942312530293007	0.9529676929861111	0.029308703611174172	31.3	2.0800016249993654	15.995502482557159	4.587071982263571	1.0217319729460859	0.6472805970651819	0.27155170166666676	0.1856408921499289	0.41817605369444444	0.06739390202313646	31.8	3.9869421064269295	19.265084912566728	4.812919897211729	5.330645077708334	1.7961908213318678	0.9436573742777776	0.04055814874869888	19.8	1.2064000000000001	26.20579564153443	5.0226956929784095	0.0	0.0	0.0	0.0
